run_id,scenario_key,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
64,llm_baseline,baseline,True,21.0,0.28125,52,0.46497764530551416,1.390625,0.21887648809523813,0.6037735849056604,54,0.18125,98,0.5300462249614792,1.096875,0.1717857142857143,0.4626865671641791,6,25,26,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
65,llm_baseline,baseline,True,17.0,0.23750000000000002,56,0.4732142857142857,1.421875,0.20511643528884907,0.6098562628336756,49,0.11875,95,0.5158850226928896,1.140625,0.15885206747275712,0.4942528735632184,8,21,22,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
66,llm_baseline,baseline,True,11.0,0.16250000000000003,50,0.45565749235474007,1.396875,0.20463169642857143,0.6153039832285115,48,0.11249999999999999,103,0.48377125193199383,1.128125,0.16131324404761904,0.4807692307692308,5,15,16,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
67,llm_baseline,baseline,True,7.0,0.11875,50,0.4658573596358118,1.365625,0.21171502976190476,0.625,42,0.07500000000000001,107,0.49221183800623053,1.15,0.16213913690476192,0.4924892703862661,6,11,12,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
68,llm_baseline,baseline,True,9.0,0.21249999999999997,56,0.4248062015503876,1.55625,0.22975818452380956,0.6407563025210085,60,0.1,94,0.48787878787878786,1.1625,0.17086309523809523,0.514799154334038,6,13,14,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
69,llm_baseline,baseline,True,10.0,0.15624999999999997,62,0.472809667673716,1.38125,0.20177455357142854,0.6122233930453108,58,0.06874999999999999,110,0.4913112164296998,1.1125,0.1588095238095238,0.4897739504843918,13,14,15,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
70,llm_baseline,baseline,True,5.0,0.16249999999999998,65,0.4783904619970194,1.33125,0.18437872023809523,0.5749741468459152,37,0.11875,98,0.5060240963855421,1.15625,0.15582589285714285,0.4927385892116183,7,9,10,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
71,llm_baseline,baseline,True,12.0,0.22499999999999998,57,0.49016641452344933,1.378125,0.19737351190476193,0.6027542372881356,49,0.13124999999999998,109,0.5233644859813084,1.109375,0.16353794642857142,0.47914438502673795,5,16,17,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
72,llm_baseline,baseline,True,4.0,0.2,52,0.44359756097560976,1.4875,0.2279613095238095,0.630801687763713,56,0.1375,86,0.5030211480362538,1.171875,0.17639880952380954,0.514047866805411,13,8,9,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
73,llm_baseline,baseline,True,9.0,0.21250000000000002,69,0.4873323397913562,1.33125,0.19354166666666667,0.5762004175365344,44,0.1625,106,0.49537037037037035,1.140625,0.16025669642857143,0.49946865037194477,8,13,14,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
74,llm_baseline,baseline,True,6.0,0.2375,63,0.44879518072289154,1.38125,0.20035342261904762,0.6050156739811913,45,0.16875,105,0.4728682170542636,1.184375,0.16897693452380952,0.509493670886076,11,10,11,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
75,llm_baseline,baseline,True,24.0,0.10624999999999998,45,0.46805349182763745,1.409375,0.21655877976190477,0.6256463288521199,56,0.1,90,0.4714064914992272,1.18125,0.18811755952380954,0.5121951219512195,13,28,29,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
76,llm_baseline,baseline,True,4.0,0.18125000000000002,71,0.48536209553158705,1.35625,0.19300595238095236,0.595137420718816,47,0.15,104,0.5,1.159375,0.1624404761904762,0.4973544973544973,14,8,9,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
77,llm_baseline,baseline,True,4.0,0.15625,80,0.5212765957446809,1.253125,0.16536458333333331,0.5457446808510639,30,0.09999999999999999,98,0.5432098765432098,1.1375,0.15048363095238096,0.4797008547008547,9,8,9,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
